"date","show","theatre","city","seat","rating","cast_vibe","music_vibe","stage_magic","story_feel","note","photo","color","source_photos","confidence","source_receipts"
"12/10/2024","Back to the Future","Paramount Theatre","Seattle, WA","MF4, Row P, Seat 7","2.75","2","2","4","3","Physical ticket shows the performance details.","","#1B5E9E","20241212_191939898_iOS.jpg","high — performance date, show, theatre, and seat are visible on ticket",""
"2/14/2025","Hamilton","Paramount Theatre","Seattle, WA","MF4, Row P, Seat 6","4.75","4","5","5","5","Ticket is photographed inside the theatre.","","#8A5A19","20250215_033713062_iOS.jpg","high — performance date, show, theatre, and seat are visible on ticket",""
"3/22/2025","Cats","Shoreline Community College Theatre","Shoreline, WA","Row K, Seat 17","2.75","1","5","2","3","Printable ticket and close-up identify the community production.","","#6B3E26","20250318_230352064_iOS.jpg | 20250318_230357229_iOS.jpg","high — performance date, show, venue, and seat are visible on ticket",""
"3/28/2025","Waitress","The 5th Avenue Theatre","Seattle, WA","Lower Right, Row X, Seat 16","3.25","3","4","3","3","Physical ticket shows the performance details.","","#8B1E3F","20250330_224243299_iOS.jpg","high — performance date, show, theatre, and seat are visible on ticket",""
"4/20/2025","Life of Pi","The 5th Avenue Theatre","Seattle, WA","","3.333333333","3","NA","4","3","","","","","",""
"4/30/2025","Parade","The 5th Avenue Theatre","Seattle, WA","Row C, Seats 111 & 112","3.75","3","4","4","4","Receipt confirms the performance date, venue, and seats.","","#8B3A62","","high - show, performance date, venue, and seats are visible on the receipt","parade_0409.pdf"
"5/7/2025","Six","Paramount Theatre","Seattle, WA","MF4, Row N, Seats 9 & 10","3.5","3","5","3","3","Playbills and physical tickets are visible inside the theatre.","","#5B2C83","20250508_022116266_iOS.jpg","high — performance date, show, theatre, and seats are visible on tickets",""
"5/9/2025","Six","Paramount Theatre","Seattle, WA","MF2, Row BB, Seats 3","3.5","3","5","3","3","","","","","",""
"5/28/2025","Sunset Blvd.","St. James Theatre","New York, NY","Orchestra","4.75","5","5","5","4","Playbills and tickets are photographed at the theatre.","","#A11D2A","20250513_223634990_iOS.jpg | 20250513_224724111_iOS.jpg","high — performance date, show, theatre, and seats are visible",""
"5/13/2025","Sunset Blvd.","St. James Theatre","New York, NY","Balcony Left, Row B, Seats 31 & 33","4.75","5","5","5","4","Playbills and tickets are photographed at the theatre.","","#A11D2A","20250513_223634990_iOS.jpg | 20250513_224724111_iOS.jpg","high — performance date, show, theatre, and seats are visible",""
"5/14/2025","Gypsy","Majestic Theatre","New York, NY","Right Orchestra, Row V, Seat 2","3.75","5","4","4","2","Ticket confirms the performance date, venue, and seat.","","#B03A5B","","high - show, performance date, venue, and seat are visible on the ticket","0514-Gypsy-74.png"
"5/15/2025","Maybe Happy Ending","Belasco Theatre","New York, NY","Left Mezzanine, Row G, Seats 9 & 11","4","4","4","4","4","Ticket and receipt confirm the performance date, venue, and seats.","","#4A90A4","","high - show, performance date, venue, and seats are visible in the receipt evidence","0515-MaybeHappyEnding-$74.png | MHE_0321.pdf"
"5/16/2025","Real Women Have Curves","James Earl Jones Theatre","New York, NY","","3.25","3","3","4","3","","","","","",""
"5/17/2025","Death Becomes Her","Lunt-Fontanne Theatre","New York, NY","Orchestra Right, Row N Seat 14 & Row Y Seat 18","4.25","5","4","5","3","Tickets, receipt, and an in-theatre ticket photo are visible.","","#4F7F87","20250517_142209295_iOS.jpg | 20250517_150338207_iOS.heic | 20250517_235323395_iOS.jpg","high — performance date, show, theatre, and seats are visible on tickets",""
"5/21/2025","Cabaret","August Wilson Theatre","New York, NY","Orchestra 4, Row H, Seats 207 & 208","4.25","5","4","4","4","Receipt confirms the performance date, venue, and seats.","","#8B0000","","high - show, performance date, venue, and seats are visible on the receipt","cabaret_0321.pdf"
"5/22/2025","Sexual Misconduct of the Middle Classes","Minetta Lane Theatre","New York, NY","Orchestra Left, Row P, Seat 109","3.666666667","5","NA","2","4","Lottery notice and physical ticket photos identify the matinee.","","#24364B","20250521_160255000_iOS.jpg | 20250522_184206718_iOS.jpg | 20250522_184209872_iOS.jpg","high — performance date, show, theatre, and one visible seat are clear",""
"5/22/2025","Othello","Ethel Barrymore Theatre","New York, NY","Center Orchestra, Row N, Seat 104","3.333333333","5","NA","3","2","Mobile ticket shows the production and seat.","","#333333","20250522_220526000_iOS.png","low — show and seat are visible; date uses screenshot filename and theatre is unavailable",""
"5/23/2025","Hugh Jackman: From New York, With Love","Radio City Music Hall","New York, NY","","4","5","4","3","NA","","","","","",""
"5/24/2025","Hugh Jackman: From New York, With Love","Radio City Music Hall","New York, NY","","4","5","4","3","NA","","","","","",""
"5/25/2025","Pirates! The Penzance Musical","Todd Haimes Theatre","New York, NY","Orchestra, Row C, Seat 8","3","5","2","3","2","Playbill photo and physical ticket identify the performance.","","#8B1E3F","20250525_225337051_iOS.jpg | 20250527_203830467_iOS.jpg","high — performance date, show, theatre, and seat are visible",""
"5/29/2025","The Great Gatsby","Broadway Theatre","","","3","4","2","4","2","","","","","",""
"5/30/2025","Old Friends","Samuel J. Friedman Theatre","New York, NY","Orchestra, Row N, Seat 119","5","5","5","5","NA","Order confirmation shows the performance details.","","#8A681A","20250429_205330000_iOS.jpg","high — performance date, show, theatre, and seat are visible on confirmation","0530-OldFriends-199.png"
"6/1/2025","& Juliet","Stephen Sondheim Theatre","New York, NY","","3","2","4","4","2","Two Playbill photos are visible inside the named theatre.","","#7A1F2B","20250601_222906324_iOS.jpg | 20250601_222917967_iOS.jpg","medium — show and theatre are visible; date uses photo capture metadata and seat is unavailable",""
"6/3/2025","Little Shop of Horrors","Westside Theatre Upstairs","New York, NY","Center Orchestra, Row D, Seats 111 & 112","4.25","4","4","5","4","Two mobile tickets and an order confirmation show the details.","","#1F6B3A","20250603_155422608_iOS.jpg | 20250603_155422944_iOS.jpg | 20250611_230645000_iOS.png","high — performance date, show, theatre, and seats are visible",""
"6/4/2025","Operation Mincemeat: A New Musical","Golden Theatre","New York, NY","Left Front Mezzanine, Row D, Seats 113 & 115","4.75","5","5","5","4","Two mobile tickets show the production logo and seats.","","#806B00","20250604_170856000_iOS.png | 20250604_170901000_iOS.png","medium — show logo and seats are visible; date uses screenshot filename and theatre is unavailable",""
"6/4/2025","Just in Time","Circle in the Square Theatre","New York, NY","Orchestra, Row K, Seats 109 & 111","4.25","5","5","4","3","Mobile tickets, theatre exterior, and order confirmation are visible.","","#1D4E89","20250604_214059112_iOS.png | 20250604_214059441_iOS.png | 20250604_234255156_iOS.jpg | 20250611_190306000_iOS.png","high — performance date, show, theatre, and seats are visible",""
"6/5/2025","Dead Outlaw","Longacre Theatre","New York, NY","Left Orchestra, Row H, Seats 10 & 12","3.25","4","3","3","3","Listing and order screenshots show the performance details.","","#6B1E1E","20250604_211525000_iOS.png | 20250605_210638000_iOS.png","high — performance date, show, theatre, and seats are visible on order",""
"6/6/2025","Harry Potter and the Cursed Child","Lyric Theatre","New York, NY","Orchestra, Row B, Seats 20 & 22","3.75","3","3","5","4","Physical tickets are photographed at the theatre.","","#7B5A1E","20250606_215157924_iOS.jpg","high — performance date, show, theatre, and seats are visible",""
"6/18/2025","Mamma Mia!","Paramount Theatre","Seattle, WA","","3","1","4","3","4","","","","","",""
"9/16/2025","Some Like It Hot","The 5th Avenue Theatre","Seattle, WA","","2","2","2","2","2","","","","","",""
"9/25/2025","Suffs","The 5th Avenue Theatre","Seattle, WA","","4","4","4","4","4","Two Playbill photos are visible inside the theatre.","","#5A274F","20250926_035243591_iOS.jpg | 20250926_035326305_iOS.jpg","medium — show and theatre are visible; date uses local EXIF capture date and seat is unavailable",""
"10/26/2025","Chicago","The 5th Avenue Theatre","Seattle, WA","","3.25","3","4","3","3","","","","","",""
"12/6/2025","Hunchback of Notre Dame","Bainbridge Performing Arts","Bainbridge Island, WA","","3.5","3","4","3","4","","","","","",""
"12/18/2025","The Lion King","Paramount Theatre","Seattle, WA","","4.5","4","5","5","4","","","","","",""
"12/31/2025","Come From Away","Seattle Rep","Seattle, WA","","4.75","4","5","5","5","","","","","",""
"2/12/2026","Monty Python's Spamalot","The 5th Avenue Theatre","Seattle, WA","Row U, Seats 19, 21 & 23","3","3","3","4","2","Playbill cover and receipt identify the performance; the receipt supplies the seats.","","#365D8D","20260213_032329761_iOS.jpg","high - receipt confirms the performance date, show, theatre, and seats","My 5th Avenue _ 5th Avenue Theatre_Spamlot.pdf"
"3/8/2026","The Notebook","Paramount Theatre","Seattle, WA","","3","3","3","3","3","Receipt confirms the performance date and venue; lottery seats were not assigned on the receipt.","","#1F6F8B","","high - show, performance date, and venue are visible; seat is unavailable","LuckySeat_0227.pdf"
"5/9/2026","Jesus Christ Superstar","The 5th Avenue Theatre","Seattle, WA","Zone 3 Orchestra, Row W, Seats 12 & 14","2.5","1","4","2","3","Receipt confirms the performance date, venue, and seats.","","#C85A17","","high - show, performance date, venue, and seats are visible on the receipt","My 5th Avenue _ 5th Avenue Theatre_JCS.pdf"
"6/1/2026","Disney's Hercules","Theatre Royal Drury Lane","London, UK","Royal Circle, Seat D37","3.25","3","4","4","2","Ticket and theatre photos identify the performance.","","#2455A4","20260601_183124672_iOS.jpg | 20260601_205014631_iOS.jpg | 20260601_205016484_iOS.jpg | 20260601_205056443_iOS.jpg","high — performance date, show, theatre, and seat are visible",""
"6/3/2026","Cabaret","Kit Kat Club","London, UK","Stalls, Seat F19","4","4","4","4","4","Physical ticket is photographed at the venue entrance.","","#9B1C1C","20260603_180328544_iOS.jpg","high — performance date, show, venue, and seat are visible","Cabaret_0527.pdf"
"6/5/2026","Harry Potter and the Cursed Child: Part One","Palace Theatre","London, UK","Stalls, Seat BB17","4.333333333","4","NA","5","4","Physical tickets are photographed outside the theatre.","","#7B5A1E","20260605_155210894_iOS.jpg","high — performance date, show, theatre, and one visible seat are clear",""
"6/6/2026","Romeo & Juliet","Harold Pinter Theatre","London, UK","Dress Circle A1","3.25","3","4","4","2","Mobile ticket shows the performance details.","","#7B1E2B","20260606_181430000_iOS.png","high — performance date, show, theatre, and seat are visible",""
"6/7/2026","Come Alive","Empress Museum","London, UK","","3","3","4","4","1","","","","","",""
"6/9/2026","Operation Mincemeat: A New Musical","Fortune Theatre","London, UK","Stalls AA5","4.75","4","5","5","5","Mobile ticket and two physical-ticket photos show the details.","","#806B00","20260609_125923000_iOS.png | 20260609_164230276_iOS.jpg | PXL_20260609_164131613.jpg","high — performance date, show, theatre, and seat are visible",""
"6/10/2026","Matilda The Musical","Cambridge Theatre","London, UK","Stalls B19","2.25","2","2","3","2","Three ticket-and-theatre photos identify the performance.","","#224C68","20260605_121735680_iOS.jpg | 20260605_121756291_iOS.jpg | 20260605_121758571_iOS.jpg","high — performance date, show, theatre, and seat are visible on ticket",""
"6/10/2026","The Mousetrap","St Martin's Theatre","London, UK","Orchestra Stalls, Row H, Seat 20","3.333333333","4","NA","3","3","Physical tickets are visible inside the theatre.","","#7A1F1F","20260610_182910623_iOS.jpg","high — performance date, show, theatre, and one visible seat are clear",""
"8/19/2026","Freak the Mighty","Bagley Wright Theater","Seattle, WA","Section 2, Row N, Seats 1 & 2","3","3","3","3","3","Physical tickets are photographed at the venue.","","#A33A18","20260820_021153377_iOS.JPG","high — performance date, show, theatre, and seats are visible",""
"2/24/2023","Into The Woods","The 5th Avenue Theatre","Seattle, WA","","2.75","2","4","2","3","","","","","",""
"6/2/2026","My Neighbor Totoro","Gillian Lynne Theatre","London, UK","","3.25","3","3","4","3","","","","","",""
"6/9/2026","Witness for the Prosecution","London County Hall","London, UK","","4.333333333","4","NA","4","5","","","","","",""
"5/9/2022","Into The Woods","St. James Theatre","New York, NY","","4.5","5","5","4","4","","","","","",""
